Filename,PM7 HOMO(eV),PM7 LUMO(eV)
PC46191986,-8.875,-2
PC78042561,-8.129,-2.334
PC89546152,-8.678,-1.956
c1012,-8.378,-1.683
c1019,-8.398,-1.16
c1050,-8.673,-1.326
c1072,-9.006,-1.656
c1090,-9.002,-1.662
c1094,-8.538,-0.676
c1128,-8.599,-0.61
c1136,-8.394,-1.09
c1141,-8.528,-1.591
c1144,-8.588,-0.643
c1165,-8.497,-0.975
c1174,-8.533,-1.939
c1177,-8.585,-0.998
c1200,-8.058,-1.576
c1216,-8.733,-1.394
c122,-8.646,-1.12
c123,-8.355,-0.877
c1242,-7.965,-1.007
c1251,-8.581,-1.361
c1252,-8.386,-0.933
c1259,-8.557,-1.632
c1276,-8.788,-1.483
c1280,-8.812,-1.534
c1288,-8.812,-1.388
c1298,-8.262,-0.794
c1327,-7.947,-0.886
c133,-7.992,-0.871
c1334,-8.867,-2.411
c1338,-8.563,-1.044
c1348,-8.38,-0.89
c1352,-8.566,-1.102
c1353,-8.189,-0.901
c1355,-8.395,-1.18
c136,-8.866,-0.917
c1365,-8.286,-0.915
c1400,-8.451,-1.188
c141,-8.387,-1.038
c1435,-8.437,-1.296
c1436,-8.958,-1.686
c1447,-8.267,-0.781
c145,-8.36,-0.75
c1456,-8.515,-1.302
c1461,-8.191,-1.575
c1477,-8.282,-1.062
c1488,-8.1,-1.035
c1489,-8.063,-0.814
c1499,-8.494,-1.189
c1516,-8.073,-1.162
c1550,-8.706,-0.713
c1552,-7.861,-0.676
c1571,-8.35,-1.534
c1574,-8.239,-1.854
c1595,-8.679,-1.844
c1612,-7.907,-0.893
c1643,-8.531,-1.034
c1652,-8.057,-0.433
c1655,-8.239,-0.492
c166,-9.299,-1.218
c1661,-8.31,-1.203
c1682,-9.592,-1.768
c1685,-9.541,-2.078
c1688,-9.685,-0.839
c171,-8.219,-0.826
c1714,-8.644,-1.279
c1732,-9.055,-0.871
c1766,-8.588,-1.408
c1781,-8.806,-1.569
c1810,-8.343,-1.399
c1821,-9.508,-1.99
c1841,-9.397,-2.016
c1858,-7.995,-0.522
c186,-8.547,-0.797
c1861,-9.498,-0.833
c1867,-8.008,-0.908
c1876,-8.333,-0.908
c1881,-9.739,-1.464
c1891,-8.279,-0.772
c1893,-8.644,-1.367
c1894,-9.581,-1.093
c1895,-9.355,-2.207
c1907,-8.124,-1.03
c1922,-8.37,-1.377
c1930,-8.528,-1.24
c1932,-9.238,-1.285
c1960,-11.054,-2.056
c1964,-9.167,-1.554
c1970,-9.146,-1.414
c1976,-9.557,-2.263
c1982,-8.715,-1.476
c1998,-8.564,-0.874
c2006,-8.269,-1.183
c2008,-8.776,-1.986
c2018,-8.644,-1.364
c2020,-8.235,-1.425
c2061,-8.363,-1.253
c2070,-8.954,-1.73
c2084,-8.923,-1.921
c21,-8.299,-0.874
c2107,-8.539,-0.926
c2111,-9.015,-2.343
c2125,-8.869,-1.142
c2133,-8.905,-1.333
c2165,-8.342,-1.746
c2166,-8.5,-1.686
c2168,-8.31,-1.013
c219,-7.963,-1.001
c2190,-8.735,-1.677
c2213,-9.044,-1.621
c2228,-8.049,-0.986
c2236,-8.014,-1.52
c2238,-8.299,-1.322
c2242,-8.341,-1.031
c2255,-8.566,-1.647
c2257,-8.582,-1.281
c2264,-9.171,-1.91
c2266,-8.78,-1.461
c2274,-9.12,-1.545
c2286,-8.456,-1.936
c23,-9.273,-0.138
c2300,-8.796,-2.15
c2309,-8.612,-2.152
c2312,-8.758,-2.245
c2315,-9.058,-2.208
c2327,-8.708,-2.16
c2350,-8.899,-2.049
c2354,-8.845,-1.968
c2355,-9.052,-2.032
c2363,-8.323,-1.654
c2375,-8.557,-1.624
c2386,-8.615,-1.501
c2394,-8.669,-1.517
c2434,-8.712,-1.701
c2461,-8.205,-0.958
c2502,-8.384,-0.631
c2511,-8.902,-0.931
c2515,-8.742,-1.394
c2545,-8.452,-1.226
c2558,-8.524,-1.074
c2598,-8.918,-0.939
c26,-8.337,-1.168
c2600,-8.504,-1.038
c2602,-9.452,-1.11
c2610,-8.805,-1.494
c2615,-8.761,-1.554
c2637,-8.432,-1.393
c2640,-8.369,-1.036
c2650,-8.381,-1.481
c2670,-8.473,-2.086
c2688,-8.57,-1.442
c2704,-8.328,-1.489
c2710,-8.548,-1.882
c2713,-9.426,-1.892
c273,-8.365,-1.899
c2738,-9.353,-1.307
c2743,-8.157,-0.94
c2748,-8.493,-0.924
c275,-8.508,-1.728
c2785,-8.495,-1.87
c2796,-8.58,-0.625
c2799,-8.484,-1.071
c280,-8.221,-1.379
c2803,-8.697,-1.344
c2811,-8.356,-1.75
c2813,-7.811,-0.796
c2814,-7.782,-0.597
c2820,-8.22,-0.793
c2822,-8.544,-0.785
c2839,-8.293,-0.984
